ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
212;1;384811;0;165;0;0;217;0;0;11;0;0;6;0;9;0;0;15;0;0;1;0;1
213;1;351142;489;153;84;0;97;19;26;0;2;0;0;8;0;2;0;2;0;0;1;0;1
214;1;1107316;1028;386;291;33;20;31;25;0;13;1;0;52;1;14;1;0;0;0;0;0;2
215;1;158909;285;227;93;54;37;28;0;8;9;18;2;2;3;0;0;0;2;2;8;6;2
216;1;509128;1035;0;612;0;294;0;195;0;89;0;29;22;0;5;0;6;0;4;0;2;13
217;1;622653;1043;0;315;0;161;0;84;0;25;0;16;26;0;15;0;2;0;6;0;0;2
218;1;318531;0;101;0;100;0;35;0;42;0;0;5;0;0;0;0;0;0;0;0;0;2
219;1;498137;0;0;3;0;0;1;0;0;6;0;0;0;0;0;0;0;0;2;0;0;1
220;1;1082646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221;1;418446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
223;1;358668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
224;1;431730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
225;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
226;1;332100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
227;1;511434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
228;1;411709;0;0;81;0;0;5;0;0;3;0;0;0;0;0;4;0;0;0;0;0;2
229;1;1094688;638;206;308;14;2;27;27;0;0;1;0;1;1;14;1;0;0;0;0;0;2
230;1;358668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231;1;8840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
