ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11
390;1;1115856;0;0;0;0;0;0;0;0;0;0;0
391;1;305398;75;27;0;13;17;0;0;0;0;0;2
392;1;397236;663;434;58;34;13;4;30;34;7;6;1
393;1;596853;700;127;30;19;2;17;26;1;2;1;2
394;1;338462;210;36;18;2;0;5;5;2;0;0;2
395;1;557440;200;0;208;8;0;5;12;0;47;1;7
396;1;1121659;594;86;68;5;14;54;10;6;0;0;2
397;1;391564;122;92;23;3;65;2;1;1;2;1;2
398;1;385149;67;6;1;11;0;0;0;0;0;0;2
399;1;1133579;1596;400;55;42;4;13;1;63;14;14;1
400;1;385236;0;0;0;0;0;0;0;0;0;0;0
401;1;351773;113;43;28;1;0;65;0;0;0;2;1
402;1;417899;342;125;33;18;20;0;4;0;4;0;1
403;1;589563;1007;277;139;70;18;17;26;16;2;1;2
404;1;338432;204;67;10;17;0;2;4;0;2;3;1
405;1;291273;648;238;25;11;0;25;11;1;14;0;2
406;1;491119;266;16;23;71;2;2;1;6;0;0;2
407;1;411750;35;12;0;2;2;0;0;0;0;0;3
408;1;975799;406;71;60;12;7;2;0;1;0;0;16
409;1;464508;281;28;32;78;2;2;1;6;0;0;2
410;1;325273;154;22;0;3;3;1;0;0;0;0;2
411;1;398426;58;18;2;2;0;9;1;1;2;0;1
412;1;311940;176;23;25;1;0;2;2;3;1;0;1
413;1;591065;0;28;0;2;0;1;0;0;0;0;42
414;1;604422;0;0;0;0;0;0;0;0;0;0;0
415;1;425088;0;0;0;0;0;0;0;0;0;0;0
416;1;42845;0;0;0;0;0;0;0;0;0;0;0
417;1;232470;0;0;0;0;0;0;0;0;0;0;0
418;1;365310;0;0;0;0;0;0;0;0;0;0;0
419;1;470880;389;134;127;4;26;17;0;3;0;1;1
420;1;351674;287;26;10;9;1;14;1;0;0;0;4
421;1;458245;45;3;3;0;0;0;0;0;0;1;1
422;1;398343;103;41;13;1;0;14;1;0;0;0;4
423;1;477406;398;171;145;8;26;32;1;3;22;1;11
424;1;285678;304;132;129;21;17;47;0;0;6;0;4
425;1;464622;139;67;5;96;2;6;0;0;1;0;2
426;1;484507;242;15;18;71;2;2;1;6;0;0;2
427;1;1101699;625;86;74;4;14;52;10;6;0;0;2
428;1;364862;189;188;23;28;4;0;10;0;2;3;1
429;1;384911;206;35;4;67;2;3;7;0;0;0;1
430;1;637471;129;13;5;0;2;0;6;1;1;1;3
431;1;338399;158;143;0;10;4;9;0;15;1;1;2
432;1;1088122;798;126;38;91;14;11;63;23;1;0;1
433;1;457633;220;297;40;6;73;4;21;1;0;1;2
434;1;411410;304;11;59;0;17;1;0;0;0;1;1
435;1;364863;172;0;223;11;0;14;9;0;16;1;1
436;1;438225;81;30;20;4;8;0;0;0;2;0;2
437;1;365132;82;43;22;20;0;0;0;9;0;0;2
438;1;404841;152;33;0;94;10;9;0;8;13;0;2
439;1;365245;45;3;6;1;0;0;2;6;0;0;2
440;1;530897;0;119;0;276;0;45;0;6;0;14;3
441;1;351133;546;287;0;26;10;9;0;1;13;0;1
442;1;418124;231;4;37;2;14;0;11;0;21;0;2
443;1;378333;171;27;21;29;8;0;0;2;0;0;3
444;1;332038;31;16;6;0;0;4;0;0;0;0;5
445;1;451317;239;11;9;70;0;2;0;6;0;0;2
446;1;444511;379;15;27;31;15;0;13;0;21;0;2
447;1;636823;332;164;83;25;26;31;83;20;0;3;42
448;1;132063;0;219;0;126;0;13;0;3;0;0;6
449;1;484669;0;17;0;163;0;5;0;3;0;8;1
450;1;484866;0;0;0;0;0;0;0;0;0;0;0
451;1;365046;216;9;10;9;1;14;1;0;0;0;4
452;1;1080728;1386;295;93;37;21;4;14;0;52;10;6
453;1;477732;332;34;32;80;3;2;1;6;0;0;2
454;1;378255;140;51;12;46;1;2;11;8;0;2;66
455;1;245063;207;0;93;0;7;1;0;0;0;0;14
456;1;929315;477;27;36;6;2;2;2;0;0;0;13
457;1;345221;135;10;7;3;0;3;1;0;0;0;4
458;1;311803;307;26;10;9;0;14;1;0;0;0;4
459;1;1114504;947;223;68;19;20;1;1;0;57;10;6
460;1;471582;0;0;0;0;0;0;0;0;0;0;0
461;1;371952;0;0;0;0;0;0;0;0;0;0;0
462;1;345384;0;0;0;0;0;0;0;0;0;0;0
463;1;411804;0;0;0;0;0;0;0;0;0;0;0
464;1;418446;0;0;0;0;0;0;0;0;0;0;0
465;1;46740;0;0;0;0;0;0;0;0;0;0;0
466;1;378525;60;4;0;0;0;0;1;0;0;0;4
467;1;351836;180;1;0;2;0;0;1;1;1;2;2
468;1;590863;234;24;3;0;2;0;6;1;1;1;3
469;1;491099;258;104;20;15;4;4;1;0;0;0;3
470;1;383958;570;237;241;53;19;102;13;5;34;2;2
471;1;371665;228;16;15;9;0;14;1;0;0;0;4
472;1;298688;103;0;41;0;10;44;0;0;0;3;1
