ID_interaction;Class_interactions;0;1;2
598;1;365310;0;0
599;1;233700;0;0
600;1;338742;0;0
601;1;1109121;85;8
602;1;431671;43;16
603;1;10175;18;7
604;1;325423;24;11
605;1;398472;39;9
606;1;617555;149;2
607;1;358648;16;4
608;1;411723;58;23
609;1;604397;23;2
610;1;365276;17;17
611;1;391845;32;1
612;1;604250;152;20
613;1;458258;35;5
614;1;352015;8;3
615;1;54530;0;0
616;1;194180;42;3
617;1;1135630;79;73
618;1;537993;7;2
619;1;484819;43;4
620;1;464855;77;8
621;1;365310;0;0
622;1;504711;73;8
623;1;1102442;116;14
624;1;1142340;67;17
625;1;438370;0;2
626;1;371911;36;5
627;1;249233;23;24
628;1;239067;37;8
629;1;365256;52;2
630;1;385156;67;13
631;1;624348;0;0
632;1;484866;0;0
633;1;391878;0;0
634;1;498150;0;0
635;1;365310;0;0
636;1;6800;0;0
637;1;272322;0;0
638;1;391878;0;0
639;1;378594;0;0
640;1;391878;0;0
641;1;398502;11;7
642;1;6120;0;0
643;1;385224;8;4
644;1;66205;6;4
645;1;265632;40;8
646;1;571066;87;59
647;1;1135688;86;8
648;1;458234;45;19
649;1;170889;26;3
650;1;378594;0;0
651;1;209750;10;3
652;1;504711;73;8
653;1;338733;8;1
654;1;385109;111;16
655;1;365298;0;12
656;1;365280;26;4
657;1;186315;129;12
658;1;644121;130;23
659;1;371817;131;4
660;1;345378;2;4
661;1;1102427;77;68
662;1;225899;10;1
663;1;371846;104;2
664;1;511384;44;6
665;1;471493;81;8
666;1;524660;57;1
667;1;147956;45;9
668;1;438291;58;23
669;1;325444;10;4
670;1;418379;44;23
671;1;1109126;80;8
672;1;411771;30;3
673;1;299622;224;69
674;1;358654;12;2
675;1;371914;34;4
676;1;478224;0;0
677;1;484866;0;0
678;1;398520;0;0
679;1;385236;0;0
680;1;411804;0;0
681;1;425088;0;0
682;1;611064;0;0
683;1;597780;0;0
684;1;352026;0;0
685;1;1075859;77;68
686;1;405083;47;32
687;1;378533;58;3
688;1;597615;139;26
689;1;564371;141;58
