ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
304;1;450489;542;350;68;105;0;88;1;2;2;1;0;6;0;0;0;0;2
305;1;451307;164;101;51;5;0;7;11;2;5;0;0;0;1;0;0;0;2
306;1;510375;663;275;44;11;44;0;17;0;0;1;0;2;0;0;1;0;1
307;1;517531;148;277;13;25;0;70;0;1;2;1;0;6;0;0;0;0;2
308;1;1080608;1025;465;308;63;32;26;12;21;4;13;1;0;0;52;1;9;6
309;1;1107111;1382;345;208;20;60;4;13;1;0;53;9;6;0;0;0;0;2
310;1;371844;49;41;3;2;0;1;10;0;0;0;0;0;0;0;0;0;2
311;1;405162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
312;1;405162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
313;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
314;1;464940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
315;1;391878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
316;1;484593;180;0;77;0;4;0;5;0;0;0;0;0;0;2;0;0;5
317;1;497432;262;327;19;25;0;70;2;2;2;1;0;6;0;0;0;0;2
318;1;351870;0;125;0;0;12;0;6;0;0;0;0;6;0;0;0;0;7
319;1;1133811;1008;416;308;58;33;28;13;21;4;13;1;0;0;52;1;9;6
320;1;417127;0;951;0;227;0;86;0;20;0;7;0;0;0;26;0;0;2
321;1;351135;544;282;26;0;10;9;1;0;14;0;1;0;0;0;0;0;4
322;1;603980;188;226;3;3;1;14;1;0;4;1;0;0;0;0;0;0;1
323;1;338588;80;27;22;1;10;2;6;3;1;0;0;0;0;0;0;0;2
324;1;318413;0;334;0;42;0;3;0;8;0;1;0;1;0;13;0;0;1
325;1;358348;139;0;55;39;0;11;9;0;0;0;0;13;51;0;1;0;2
326;1;365008;122;84;43;20;0;5;15;0;0;2;0;8;1;0;0;0;2
327;1;603630;331;154;81;44;32;83;20;0;10;35;0;0;0;0;0;0;2
328;1;450019;988;453;80;29;19;4;13;0;1;15;1;0;2;20;1;9;2
329;1;491030;122;252;14;8;0;69;2;1;2;0;0;6;0;0;0;0;2
330;1;596194;1007;0;285;142;0;70;18;0;17;26;0;16;2;0;1;0;2
331;1;371670;108;82;40;22;0;4;15;0;0;0;0;8;1;0;0;0;2
332;1;358479;82;28;1;8;1;0;55;0;4;2;0;3;0;0;4;0;1
